IMEI;Служебное описание;Тип соединения;Адрес;Статус;Сервер;Адрес сервера;Прошивка;Плата;Интерфейс;SIM-карта;Тел. номер;Тел. номер 2;  Последний выход на связь  ;Тип устройства;Рассылка;Уровень сигнала
353437069625181;Волгоград, ул. 64-й Армии, д.44, ТПА-1395, РУ-10 кВ, яч. 9;IP;172.16.1.3:35487;0;+;192.168.2.238:4999;212.8;02.0;485;1;79259099708;;Tue Dec 10 08:38:40 MSK 2019;ATM2;;29
358799041582920;Москва, ул. Новый Арбат д. 30/9;IP;172.16.1.3:35438;0;+;192.168.0.167:4999;205.0;-;-;1;;;Fri Jul 10 21:25:26 MSK 2020;ATM2;;9
358799041584421;Москва, ул. Садовая-Каретная, д.8, стр.1;IP;172.16.1.3:35510;0;+;192.168.0.12:4999;205.0;-;-;1;79258030897;;Thu Dec 17 15:30:38 MSK 2020;ATM2;;30
358799041728127;Москва, ул. Академика Глушко, д.6;IP;172.16.1.3:35207;0;+;192.168.2.146:4999;205.0;-;-;1;79250988610;;Thu Sep 17 21:20:14 MSK 2020;ATM2;;11
356495043942061;Москва, ш. Пятницкое, д.42;IP;172.16.1.3:35252;0;+;192.168.1.149:4999;212.8;02.0;485;1;79250975261;;Tue Jan 14 02:14:48 MSK 2020;ATM2;;13
358799041732822;Москва, пер-к 3-й Крутицкий, д.15 Ввод-1;IP;172.16.1.3:35378;0;+;192.168.0.62:4999;205.0;-;-;1;79258030727;;Thu Dec 17 19:13:31 MSK 2020;ATM2;;26
358799041716494;Москва, пр-т Юных Ленинцев, д.3;IP;172.16.1.3:35001;1;+;192.168.0.49:4999;205.0;-;-;1;79258030715;;Fri Dec 18 09:59:19 MSK 2020;ATM2;;6
358799041733317;Москва, ул. Б. Грузинская, д.12 Ввод1;IP;172.16.1.3:35002;1;+;192.168.0.52:4999;205.0;-;-;1;79258030722;;Fri Dec 18 10:31:37 MSK 2020;ATM2;;10
356495043920596;Троицк, мкр-н Б, Сиреневый б-р, д.1;IP;172.16.1.3:35003;1;+;192.168.2.158:4999;212.8;02.0;485;1;79260923494;;Fri Dec 18 03:43:44 MSK 2020;ATM2;;28
358799041630026;Москва, ул. Бориса Галушкина, д.16;IP;172.16.1.3:35004;1;+;192.168.1.151:4999;205.0;-;-;1;79250975264;;Fri Dec 18 10:37:56 MSK 2020;ATM2;;14
358799041671194;Москва, ул. Хабаровская, д.16;IP;172.16.1.3:35005;1;+;192.168.0.190:4999;205.0;-;-;1;79258030669;;Fri Dec 18 10:04:24 MSK 2020;ATM2;;10
358799041674164;Москва, ул. Профсоюзная, д.115, к.1;IP;172.16.1.3:35006;1;+;192.168.0.146:4999;205.0;-;-;1;79258030573;;Fri Dec 18 09:46:36 MSK 2020;ATM2;;18
358799041726352;Москва, ш. Можайское, д.4 к.1 Ввод1;IP;172.16.1.3:35007;1;+;192.168.0.230:4999;205.0;-;-;1;79258024656;;Fri Dec 18 10:05:03 MSK 2020;ATM2;;16
358799041716593;Москва, ул. Новокосинская, д.23, стр.1А Ввод1;IP;172.16.1.3:35008;1;+;192.168.2.138:4999;205.0;-;-;1;79250988630;;Fri Dec 18 10:23:38 MSK 2020;ATM2;;30
358799041628772;Москва, пр-т Новочеркасский, д.46 Ввод1;IP;172.16.1.3:35009;1;+;192.168.1.254:4999;205.0;-;-;1;79250975405;;Fri Dec 18 10:01:15 MSK 2020;ATM2;;17
358799041589933;Москва, ул. Южнобутовская, д.91 Ввод1;IP;172.16.1.3:35010;1;+;192.168.1.30:4999;205.0;-;-;1;79258024542;;Fri Dec 18 10:07:35 MSK 2020;ATM2;;14
358799041711073;Зеленоград, корп. 249 Ввод1;IP;172.16.1.3:35011;1;+;192.168.2.170:4999;205.0;-;-;1;79260923527;;Fri Dec 18 09:43:25 MSK 2020;ATM2;;20
358799041716668;Москва, ул. Б. Андроньевская, д.8 Т-1;IP;172.16.1.3:35012;1;+;192.168.1.185:4999;205.0;-;-;1;79250975308;;Fri Dec 18 10:11:55 MSK 2020;ATM2;;23
353437063793969;Чебоксары, пр-т Московский, д.3А, ТП-541, Ввод 1;IP;172.16.1.3:35013;1;+;192.168.3.34:4999;212.8;02.0;485;1;79259099017;;Fri Dec 18 04:50:21 MSK 2020;ATM2;;19
356495043393463;Москва, ул. Измайловский вал, д.20 Ввод1;IP;172.16.1.3:35014;1;+;192.168.2.111:4999;212.8;02.0;485;1;79250988596;;Fri Dec 18 06:56:44 MSK 2020;ATM2;;23
358799041732186;Москва, ул. Рогожский пос., д.3, стр.1 Ввод1;IP;172.16.1.3:35015;1;+;192.168.0.214:4999;205.0;-;-;1;79258024586;;Fri Dec 18 10:02:18 MSK 2020;ATM2;;22
356495043939414;Москва, пр-д Борисовский, д.11, к.1, стр.2 Ввод1;IP;172.16.1.3:35017;1;+;192.168.0.218:4999;212.8;02.0;485;1;79258024604;;Fri Dec 18 01:02:41 MSK 2020;ATM2;;14
356495043885989;Москва, ул. Богданова, д.58 Ввод1;IP;172.16.1.3:35018;1;+;192.168.0.212:4999;212.8;02.0;485;1;79250957607;;Fri Dec 18 03:25:15 MSK 2020;ATM2;;6
356495043970898;Москворечье, д.53, к.2 Ввод1;IP;172.16.1.3:35019;1;+;192.168.2.24:4999;212.8;02.0;485;1;79250975430;;Thu Dec 17 20:17:40 MSK 2020;ATM2;;17
358799041732772;Москва, ул. Гризодубовой, д.4, к.1 Ввод1;IP;172.16.1.3:35021;1;+;192.168.2.98:4999;205.0;-;-;1;79250988578;;Fri Dec 18 10:27:11 MSK 2020;ATM2;;20
358799041641361;Москва, пр-т Ленинский, д.73/8 Ввод1;IP;172.16.1.3:35022;1;+;192.168.1.136:4999;205.0;-;-;1;79258027689;;Fri Dec 18 09:59:39 MSK 2020;ATM2;;24
358799041629143;Москва, ул. Голубинская, д.7, к.2;IP;172.16.1.3:35023;1;+;192.168.0.159:4999;205.0;-;-;1;79258030610;;Fri Dec 18 10:07:20 MSK 2020;ATM2;;27
358799041583670;Москва, ул. Серафимовича, д.2;IP;172.16.1.3:35024;1;+;192.168.0.161:4999;205.0;-;-;1;79258030612;;Fri Dec 18 10:30:03 MSK 2020;ATM2;;21
358799041736104;Москва, ул. Гиляровского, д.1, стр.1;IP;172.16.1.3:35025;1;+;192.168.0.154:4999;205.0;-;-;1;79258030598;;Fri Dec 18 10:24:19 MSK 2020;ATM2;;17
353437069558564;Тамбов, ул. Карла Маркса, д.130 Гараж РУ 0,4 кВ;IP;172.16.1.3:35026;1;+;192.168.3.3:4999;212.8;02.0;485;1;79259099533;;Fri Dec 18 08:18:43 MSK 2020;ATM2;;16
353437063776840;Красноярск, пр-т Свободный, д.46, ТП-7 Секция 5 Тр-р 1;IP;172.16.1.3:35028;1;+;192.168.3.64:4999;212.8;02.0;485;1;79259098105;;Fri Dec 18 03:00:41 MSK 2020;ATM2;;21
353437069845425;Москва, ул. Красноармейская, д.20, стр.1 Ввод1;IP;172.16.1.3:35029;1;+;192.168.1.184:4999;212.8;02.0;485;1;79250975307;;Fri Dec 18 04:30:42 MSK 2020;ATM2;;24
358799041733333;Москва, ул. Гурьянова, д.55 Луч-А;IP;172.16.1.3:35030;1;+;192.168.0.208:4999;205.0;-;-;1;79258030705;;Fri Dec 18 09:39:12 MSK 2020;ATM2;;14
358799041736161;Москва, ул. Кунцевская, д.10/18;IP;172.16.1.3:35031;1;+;192.168.2.79:4999;205.0;-;-;1;79250988556;;Fri Dec 18 10:24:29 MSK 2020;ATM2;;11
358799041583688;Москва, ш. Энтузиастов, 14 ВРУ 1/1;IP;172.16.1.3:35032;1;+;192.168.0.233:4999;205.0;-;-;1;79258024598;;Fri Dec 18 10:38:47 MSK 2020;ATM2;;9
358799041582912;Москва, пр-т Пролетарский, д.6, к.4;IP;172.16.1.3:35033;1;+;192.168.0.84:4999;205.0;-;-;1;79258030875;;Fri Dec 18 10:27:29 MSK 2020;ATM2;;13
358799041641601;Москва, пр-д Дежнева, д.27, к.1;IP;172.16.1.3:35034;1;+;192.168.1.38:4999;205.0;-;-;1;79250957610;;Fri Dec 18 10:02:10 MSK 2020;ATM2;;9
358799041716825;Москва, пр-д Боровский, д.14 Ввод1;IP;172.16.1.3:35035;1;+;192.168.1.56:4999;205.0;-;-;1;79250957629;;Fri Dec 18 10:19:00 MSK 2020;ATM2;;11
358799041594875;Москва, пр-д Огородный, д.19 Ввод1;IP;172.16.1.3:35036;1;+;192.168.2.197:4999;205.0;-;-;1;79261131533;;Fri Dec 18 10:02:56 MSK 2020;ATM2;;8
358799041726444;Москва, ул. Зеленодольская, д.7, корп.2 Ввод-1;IP;172.16.1.3:35037;1;+;192.168.1.11:4999;205.0;-;-;1;79258024408;;Fri Dec 18 10:34:27 MSK 2020;ATM2;;11
358799041598546;Москва, пр-т Кутузовский, д.9;IP;172.16.1.3:35038;1;+;192.168.2.104:4999;205.0;-;-;1;79250988589;;Fri Dec 18 10:15:20 MSK 2020;ATM2;;14
358799041597480;6-я Кожуховская, д.26 Ввод1;IP;172.16.1.3:35039;1;+;192.168.0.207:4999;205.0;-;-;1;79258030704;;Fri Dec 18 10:31:32 MSK 2020;ATM2;;12
356495043915240;Москва, Туристская, д.19, стр.1 Ввод1;IP;172.16.1.3:35041;1;+;192.168.1.243:4999;212.8;02.0;485;1;79250975392;;Fri Dec 18 06:30:55 MSK 2020;ATM2;;21
358799041589487;Москва, ул. Вавилова, д.23 Ввод-1;IP;172.16.1.3:35042;1;+;192.168.0.232:4999;205.0;-;-;1;79258024742;;Fri Dec 18 10:10:35 MSK 2020;ATM2;;23
356495043973223;Москва, ул. Алтайская, д.4 Ввод1;IP;172.16.1.3:35043;1;+;192.168.1.197:4999;212.8;02.0;485;1;79250975322;;Fri Dec 18 00:17:43 MSK 2020;ATM2;;12
358799041733366;Москва, ул. Енисейская, д.29, стр.1 Ввод1;IP;172.16.1.3:35044;1;+;192.168.0.253:4999;205.0;-;-;1;79250957601;;Fri Dec 18 10:31:40 MSK 2020;ATM2;;21
358799041726543;Москва, ул. Митинская, д.47 Ввод1;IP;172.16.1.3:35045;1;+;192.168.0.113:4999;205.0;-;-;1;79258030829;;Fri Dec 18 10:28:59 MSK 2020;ATM2;;17
358799041583035;Москва, ул. Корнейчука, д.44 Ввод1;IP;172.16.1.3:35046;1;+;192.168.1.41:4999;205.0;-;-;1;79250957613;;Fri Dec 18 10:35:05 MSK 2020;ATM2;;11
358799041594750;Москва, ул. Клязьминская, д.9, стр.2 Ввод1;IP;172.16.1.3:35050;1;+;192.168.1.162:4999;205.0;-;-;1;79250975281;;Fri Dec 18 10:24:28 MSK 2020;ATM2;;10
358799041732889;Москва, б-р Покровский, д.16/10, стр.5;IP;172.16.1.3:35051;1;+;192.168.0.188:4999;205.0;-;-;1;79258030662;;Fri Dec 18 10:34:29 MSK 2020;ATM2;;15
358799041598199;Москва, ул. Люблинская, д.38 Ввод-1;IP;172.16.1.3:35052;1;+;192.168.0.163:4999;205.0;-;-;1;79258030622;;Fri Dec 18 09:40:17 MSK 2020;ATM2;;21
356495043921008;Москва, б-р Химкинский, д.1;IP;172.16.1.3:35053;1;+;192.168.1.31:4999;212.8;02.0;485;1;;;Fri Dec 18 01:56:38 MSK 2020;ATM2;;28
358799041628384;Москва, ул. Шоссейная, д.13;IP;172.16.1.3:35054;1;+;192.168.2.20:4999;205.0;-;-;1;79250975426;;Fri Dec 18 10:23:26 MSK 2020;ATM2;;18
358799041594909;Зеленоград, корп. 315 Ввод1;IP;172.16.1.3:35055;1;+;192.168.1.132:4999;205.0;-;-;1;79258024737;;Fri Dec 18 10:35:37 MSK 2020;ATM2;;10
358606051156844;Магадан, ул. Пушкина, д.11/11 Ввод 1;IP;172.16.1.3:35056;1;+;192.168.3.84:4999;212.8;02.янв;485;1;79259097503;;Fri Dec 18 07:45:40 MSK 2020;ATM2;;17
358799041736591;Москва, ул. Архитектора Власова, д.39;IP;172.16.1.3:35057;1;+;192.168.0.151:4999;205.0;-;-;1;79258030591;;Fri Dec 18 10:01:57 MSK 2020;ATM2;;22
353437063793845;Самара, ул. Самарская, д.207 Ввод 4;IP;172.16.1.3:35058;1;+;192.168.2.250:4999;212.8;02.0;485;1;79259099592;;Fri Dec 18 10:07:42 MSK 2020;ATM2;;26
358799041726402;Москва, пр-д Ореховый, д.9 Ввод-1;IP;172.16.1.3:35059;1;+;192.168.1.22:4999;205.0;-;-;1;79258024462;;Fri Dec 18 09:40:30 MSK 2020;ATM2;;21
358799041727749;Москва, ул. Пятницкая, д.2/38 Ввод1;IP;172.16.1.3:35060;1;+;192.168.0.168:4999;205.0;-;-;1;79258030631;;Fri Dec 18 09:53:53 MSK 2020;ATM2;;15
358799041599627;Москва, пр-т Буденного, д.30/8;IP;172.16.1.3:35061;1;+;192.168.0.191:4999;205.0;-;-;1;79258030670;;Fri Dec 18 10:12:17 MSK 2020;ATM2;;14
358799041641023;Москва, ш. Щелковское, д.34, к.2 Ввод 1;IP;172.16.1.3:35062;1;+;192.168.0.50:4999;205.0;-;-;1;79250988577;;Fri Dec 18 09:39:42 MSK 2020;ATM2;;9
358799041583449;Москва, пр-т Волгоградский, д.92 Ввод-1;IP;172.16.1.3:35063;1;+;192.168.0.196:4999;205.0;-;-;1;79258030681;;Fri Dec 18 09:41:34 MSK 2020;ATM2;;12
358799041598157;Москва, ул. Генерала Белова, д.27;IP;172.16.1.3:35064;1;+;192.168.0.82:4999;205.0;-;-;1;79258030776;;Fri Dec 18 10:18:13 MSK 2020;ATM2;;19
358799041739249;Москва, пос. Кленово, ул. Мичурина, д.5;IP;172.16.1.3:35065;1;+;192.168.2.145:4999;205.0;-;-;1;79260923478;;Fri Dec 18 10:17:54 MSK 2020;ATM2;;29
358799041584611;Москва, ул. Шолохова, д.16 Ввод1;IP;172.16.1.3:35066;1;+;192.168.1.58:4999;205.0;-;-;1;79250957631;;Fri Dec 18 10:14:25 MSK 2020;ATM2;;31
358799041582342;Москва, пос. Красная Пахра, д.10;IP;172.16.1.3:35068;1;+;192.168.2.1:4999;205.0;-;-;1;79260923477;;Fri Dec 18 10:09:06 MSK 2020;ATM2;;8
358799041732129;Москва, пос. Воскресенское, д.27;IP;172.16.1.3:35069;1;+;192.168.2.147:4999;205.0;-;-;1;79260923481;;Fri Dec 18 10:00:19 MSK 2020;ATM2;;14
358799041732665;Москва, ул. Ташкентская, д.12/20 Ввод-1;IP;172.16.1.3:35070;1;+;192.168.0.183:4999;205.0;-;-;1;79258030653;;Fri Dec 18 09:46:53 MSK 2020;ATM2;;24
358799041584660;Москва, ул. Криворожская, д.23 к1;IP;172.16.1.3:35071;1;+;192.168.0.145:4999;205.0;-;-;1;79258030572;;Fri Dec 18 09:59:02 MSK 2020;ATM2;;20
358799041727350;Москва, ул. Б. Якиманка, д.18 Ввод 1;IP;172.16.1.3:35072;1;+;192.168.1.142:4999;205.0;-;-;1;79258027695;;Fri Dec 18 10:30:26 MSK 2020;ATM2;;20
358799041726907;Москва, ул. Рочдельская, д.12 Ввод 1;IP;172.16.1.3:35073;1;+;192.168.0.115:4999;205.0;-;-;1;79258030835;;Fri Dec 18 10:27:13 MSK 2020;ATM2;;26
353437067555554;Липецк, ул. Первомайская, д.2 ВУ-1 0,4 кВ, Ввод;IP;172.16.1.3:35074;1;+;192.168.3.0:4999;212.8;02.0;485;1;79259099545;;Fri Dec 18 02:59:44 MSK 2020;ATM2;;26
358799041641155;Москва, ул. Борисовские пруды, д.12, к.1 Ввод1;IP;172.16.1.3:35075;1;+;192.168.1.231:4999;205.0;-;-;1;79250975372;;Fri Dec 18 10:08:39 MSK 2020;ATM2;;16
358799041598371;Зеленоград, корп. 1004 Ввод1;IP;172.16.1.3:35076;1;+;192.168.1.43:4999;205.0;-;-;1;79258024721;;Fri Dec 18 10:26:21 MSK 2020;ATM2;;21
358799041628277;Москва, ул. Б. Черкизовская, д.5, к.1 Ввод 1;IP;172.16.1.3:35077;1;+;192.168.0.29:4999;205.0;-;-;1;79258030930;;Fri Dec 18 10:38:27 MSK 2020;ATM2;;19
358799041732103;Москва, ул. Б. Переяславская, д.9 Ввод1;IP;172.16.1.3:35078;1;+;192.168.2.59:4999;205.0;-;-;1;79250988531;;Fri Dec 18 09:41:42 MSK 2020;ATM2;;19
358799041617841;Москва, ш. Загородное, д.15 Ввод 1;IP;172.16.1.3:35079;1;+;192.168.2.213:4999;205.0;-;-;1;79269713994;;Fri Dec 18 10:38:07 MSK 2020;ATM2;;19
358799041641064;Москва, б-р Адмирала Ушакова, д.12 Ввод1;IP;172.16.1.3:35081;1;+;192.168.1.28:4999;205.0;-;-;1;79258024504;;Fri Dec 18 10:09:01 MSK 2020;ATM2;;13
358799041726626;Кржижановского, д. 17, к. 1;IP;172.16.1.3:35082;1;+;192.168.0.164:4999;205.0;-;-;1;79258030623;;Fri Dec 18 09:57:01 MSK 2020;ATM2;;28
358799041584249;Москва, ул. Федора Полетаева, д.40/24 Ввод-1;IP;172.16.1.3:35083;1;+;192.168.1.3:4999;205.0;-;-;1;79258024326;;Fri Dec 18 09:41:11 MSK 2020;ATM2;;22
358799041636437;Москва, ш. Дмитровское, д.64, к2 Ввод1;IP;172.16.1.3:35084;1;+;192.168.1.233:4999;205.0;-;-;1;79250975377;;Fri Dec 18 10:29:09 MSK 2020;ATM2;;11
356495043970229;Москва, пл. Преображенская, д.7а, стр.1 модем2 Ввод7;IP;172.16.1.3:35085;1;+;192.168.2.14:4999;212.8;02.0;485;1;79250975419;;Thu Dec 17 17:47:50 MSK 2020;ATM2;;19
358799041583175;Зеленоград, корп. 1403 Ввод1;IP;172.16.1.3:35086;1;+;192.168.1.123:4999;205.0;-;-;1;79258024718;;Fri Dec 18 10:27:02 MSK 2020;ATM2;;11
358799041736682;Москва, ул. Солнечногорская, д.5 Ввод1;IP;172.16.1.3:35087;1;+;192.168.1.92:4999;205.0;-;-;1;79250975446;;Fri Dec 18 10:38:03 MSK 2020;ATM2;;12
358799041641635;Москва, пр-д Студеный, д.1 Ввод1;IP;172.16.1.3:35088;1;+;192.168.2.210:4999;205.0;-;-;1;79269713908;;Fri Dec 18 10:23:58 MSK 2020;ATM2;;8
358799041727830;Москва, ш. Дмитровское, д.29, к.1;IP;172.16.1.3:35089;1;+;192.168.1.62:4999;205.0;-;-;1;79250957636;;Fri Dec 18 10:36:57 MSK 2020;ATM2;;13
358799041589495;Новогиреевская, д.54;IP;172.16.1.3:35090;1;+;192.168.1.35:4999;205.0;-;-;1;79258024570;;Fri Dec 18 10:24:07 MSK 2020;ATM2;;20
356495043926767;Москва, ул. Хачатуряна, д.16;IP;172.16.1.3:35091;1;+;192.168.2.10:4999;212.8;02.0;485;1;79250975413;;Fri Dec 18 02:43:39 MSK 2020;ATM2;;4
358799041736070;Москва, пер-к Сивцев Вражек, д.29/16, стр.1 Ввод1;IP;172.16.1.3:35092;1;+;192.168.0.57:4999;205.0;-;-;1;79258030881;;Fri Dec 18 09:41:34 MSK 2020;ATM2;;12
358799041736625;Москва, ул. Расплетина, д.10, к.1 Ввод1;IP;172.16.1.3:35093;1;+;192.168.1.154:4999;205.0;-;-;1;79250975268;;Fri Dec 18 10:12:05 MSK 2020;ATM2;;15
356495043918426;Москва, ул. Днепропетровская, д.3, к.5А Ввод1;IP;172.16.1.3:35094;1;+;192.168.1.155:4999;212.8;02.0;485;1;79250975269;;Fri Dec 18 01:57:44 MSK 2020;ATM2;;12
358799041590303;Москва, ул. Маршала Федоренко, д.7 ввод 2;IP;172.16.1.3:35095;1;+;192.168.1.29:4999;205.0;-;-;1;79250957608;;Fri Dec 18 10:01:59 MSK 2020;ATM2;;10
353437069951488;Нижний Новгород, ул. Октябрьская, д.35 ТП-204  Ввод1;IP;172.16.1.3:35096;1;+;192.168.3.76:4999;212.8;02.0;485;1;79259097810;;Fri Dec 18 01:56:39 MSK 2020;ATM2;;14
358799041716510;Москва, ул. Голубинская, д.24, корп.1;IP;172.16.1.3:35097;1;+;192.168.1.74:4999;205.0;-;-;1;79258030496;;Fri Dec 18 10:18:16 MSK 2020;ATM2;;30
356495043974312;Москва, пр-т Мира, д.97 ВСП1629;IP;172.16.1.3:35098;1;+;192.168.2.83:4999;212.8;02.0;485;1;79250988561;;Fri Dec 18 00:35:43 MSK 2020;ATM2;;23
356495043918756;Москва, пл. Преображенская, д.7а, стр.1 Ввод1;IP;172.16.1.3:35099;1;+;192.168.0.11:4999;212.8;02.0;485;1;79258030896;;Thu Dec 17 11:47:43 MSK 2020;ATM2;;31
358799041598116;Москва, ул. Сущевская, д.20 ВРУ 1.1;IP;172.16.1.3:35100;1;+;192.168.0.10:4999;106.0;-;-;1;79258030895;;Fri Dec 18 10:31:09 MSK 2020;ATM2;;17
358799041729570;Москва, ул. Генерала Тюленева, д.9;IP;172.16.1.3:35101;1;+;192.168.0.131:4999;205.0;-;-;1;79258030861;;Fri Dec 18 09:43:33 MSK 2020;ATM2;;21
